cluster	gene	count	gene_total	pct
Endothelial	Cers3	0	486	0
Mural	Cers3	0	486	0
Fibroblast	Cers1	3	9753	0.0307597662257767
Fibroblast	Cers6	50	44782	0.111652003036934
Endothelial	Cers1	11	9753	0.112785809494515
Mural	Cers1	11	9753	0.112785809494515
Mural	Cers6	58	44782	0.129516323522844
Ependymal	Cers1	16	9753	0.164052086537476
Fibroblast	Cers4	231	137599	0.167879127028539
Endothelial	Cers6	77	44782	0.171944084676879
Fibroblast	Cers3	1	486	0.205761316872428
Immune	Cers3	1	486	0.205761316872428
Fibroblast	Cers5	244	73569	0.331661433484212
Fibroblast	Cers2	346	92266	0.37500270955715
Immune	Cers1	38	9753	0.389623705526505
Ependymal	Cers4	544	137599	0.395351710404872
Mural	Cers4	668	137599	0.485468644394218
Immune	Cers4	687	137599	0.499276884279682
Ependymal	Cers5	418	73569	0.568174095067216
Ependymal	Cers3	3	486	0.617283950617284
Ependymal	Cers2	625	92266	0.677389287494852
Mural	Cers5	560	73569	0.761190175209667
Mural	Cers2	881	92266	0.954847939652743
Oligodendrocytes	Cers6	452	44782	1.00933410745389
Ependymal	Cers6	474	44782	1.05846098879014
Tanycytes	Cers6	484	44782	1.08079138939753
Tanycytes	Cers1	110	9753	1.12785809494515
Tanycytes	Cers3	6	486	1.23456790123457
Astrocytes	Cers6	695	44782	1.55196284221339
Endothelial	Cers4	2178	137599	1.5828603405548
NG/OPC	Cers6	721	44782	1.6100218837926
Immune	Cers6	750	44782	1.67478004555402
Tanycytes	Cers4	2420	137599	1.75873371172756
Tanycytes	Cers5	1302	73569	1.76976715736248
Immune	Cers5	1320	73569	1.79423398442279
Oligodendrocytes	Cers4	2648	137599	1.92443259035313
Endothelial	Cers5	1553	73569	2.11094346803681
Tanycytes	Cers2	2013	92266	2.18173541716342
Oligodendrocytes	Cers1	214	9753	2.19419665743874
Endothelial	Cers2	2171	92266	2.35297942904212
NG/OPC	Cers3	12	486	2.46913580246914
NG/OPC	Cers1	244	9753	2.5017943196965
Astrocytes	Cers4	4153	137599	3.01819053917543
Immune	Cers2	3289	92266	3.56469338651291
NG/OPC	Cers4	5808	137599	4.22096090814614
NG/OPC	Cers2	4250	92266	4.60624715496499
NG/OPC	Cers5	3940	73569	5.35551658986802
Astrocytes	Cers3	33	486	6.79012345679012
Astrocytes	Cers5	5326	73569	7.23946227351194
Oligodendrocytes	Cers3	38	486	7.81893004115226
Astrocytes	Cers2	8418	92266	9.12362083541066
Oligodendrocytes	Cers5	7229	73569	9.82614960105479
Astrocytes	Cers1	988	9753	10.1302163436891
Oligodendrocytes	Cers2	32683	92266	35.4225825331108
Neurons	Cers2	37590	92266	40.7409013070904
Neurons	Cers5	51677	73569	70.2429012219821
Neurons	Cers3	392	486	80.6584362139918
Neurons	Cers1	8118	9753	83.2359274069517
Neurons	Cers4	118262	137599	85.9468455439357
Neurons	Cers6	41021	44782	91.6015363315618
